Cod. Chronus,Cod. CCV,Descripcion,Calidad / Categoria,USO,Unidad Empaque,Litros Unidad,LTS,Unidades x U.E,Venta Detalle
100312111,ATTJDMJ20C,BIO AGRO TRACTOR FLUID JDM J20C,Transmision,LUBRICANTES PARA TRANSMISIONES  AUTOMATICAS,Tambor,208,208,1,No
100319001,TFDTO4SA10,BIO MATIC TO-4 SAE 10W,Transmision,LUBRICANTES PARA TRANSMISIONES  AUTOMATICAS,Tambor,208,208,1,No
100319144,TFDTO4SA30,BIO MATIC CATERPILLAR TO-4 30,Transmision,LUBRICANTES PARA TRANSMISIONES  AUTOMATICAS,Tambor,208,208,1,No
100319145,TFDTO4SA50,BIO MATIC CATERPILLAR TO-4 50,Transmision,LUBRICANTES PARA TRANSMISIONES  AUTOMATICAS,Tambor,208,208,1,No
100819027,GO685W139,ADDENDUM  MULTIGRADE API  GL-5 SAE 85W-140,Engranajes,LUBRICANTES PARA ENGRANAJES,6x1/4,"0,946","5,676",6,No
100419053,GOP85W140,ADDENDUM  MULTIGRADE GEAR OIL API GL-5 SAE 85W140,Engranajes,LUBRICANTES PARA ENGRANAJES,Paila,19,19,1,No
100319102,GOD85W140,ADDENDUM  MULTIGRADE GEAR OIL API GL-5 SAE 85W140,Engranajes,LUBRICANTES PARA ENGRANAJES,Tambor,208,208,1,No
100819028,GODADD140,ADDENDUM  MULTIGRADE GEAR OIL GL-5 SAE 80W-90,Engranajes,LUBRICANTES PARA ENGRANAJES,6x1/4,"0,946","5,676",6,No
100419052,GOP80W90,ADDENDUM  MULTIGRADE GEAR OIL API GL-5  SAE 80W90,Engranajes,LUBRICANTES PARA ENGRANAJES,Paila,19,19,1,No
100319101,GOD80W90,ADDENDUM  MULTIGRADE GEAR OIL API GL-5  SAE 80W90,Engranajes,LUBRICANTES PARA ENGRANAJES,Tambor,208,208,1,No
101012036,MEOTCW-3,BIO MARINE 2 CYCLE OUTBOARD WATER COOLED MOTOR  OIL TC-W3,Motores,LUBRICANTES PARA MOTORES  MARINOS,8x1/8,"0,473","3,784",8,No
101015038,MPGO80W90,BIO MARINE PROPELLER GEAR OIL API GL-5 SAE 80W90,Motores,LUBRICANTES PARA MOTORES  MARINOS,8x1/8,"0,473","3,784",8,No
101014034,MCSQ20W50,ECO CYCLE 4 STROKE MOTORCYCLE MAXIMUM PROTECTION JASO MA/MA-2 SAE 20W5,MA-2,LUBRICANTES PARA MOTOS,8x1/8,"0,473","3,784",8,No
100614137,MCSO20W50,ECO CYCLE 4 STROKE MOTORCYCLE MAXIMUM PROTECTION JASO MA/MA-2 SAE 20W5,MA-2,LUBRICANTES PARA MOTOS,6x1/4,"0,946","5,676",6,No
101014035,MCSOJASOFB,ECO CYCLE 2 STROKE MOTORCYCLE AIR COOLED API TC /JASO FB,TC/FB,LUBRICANTES PARA MOTOS,8x1/8,"0,473","3,784",8,No
100313070,ITDTURB32,ECO DYN PREMIUM  TURBINE OIL HT ISO 32,Turbina,TURBINA INDUSTRIAL,Tambor,208,208,1,No
100313071,ITDTURB46,ECO DYN PREMIUM  TURBINE OIL HT ISO 46,Turbina,TURBINA INDUSTRIAL,Tambor,208,208,1,No
100416002,7X7664,ECO GREASE COMPLEX HT-EP,Grasa,GRASAS,Paila,"15,8","15,8",1,No
100316002,7X7665,ECO GREASE COMPLEX HT-EP,Grasa,GRASAS,Tambor,"181,44","181,44",1,No
100416000,,ECO GREASE COMPLEX HT-EP 3% BIMOLI,Grasa,GRASAS,Paila,"15,8","15,8",1,No
100316000,,ECO GREASE COMPLEX HT-EP 3% BIMOLI,Grasa,GRASAS,Tambor,"181,44","181,44",1,No
100416001,,ECO GREASE COMPLEX HT-EP 5% BIMOLI,Grasa,GRASAS,Paila,"15,8","15,8",1,No
100316001,,ECO GREASE COMPLEX HT-EP 5% BIMOLI,Grasa,GRASAS,Tambor,"181,44","181,44",1,No
100718061,AQODOT3,CAR MINE BRAKE FLUID -DOT 3,Acuoso,ACUOSOS,8x1/8,"0,45","3,6",8,No
101017064,AQOSHAMP,CAR MINE SHAMPOO,Acuoso,ACUOSOS,8x1/8,"0,473","3,784",8,No
100317103,AQDSHAMP,CAR MINE SHAMPOO,Acuoso,ACUOSOS,Tambor,208,208,1,No
101817155,AQPCOOLF,CAR MINE COOLANT FLUID 50/50 BIDON,Acuoso,ACUOSOS,Bidon,20,20,1,No
101017043,AQGCOOLF,CAR MINE COOLANT FLUID - 50/50,Acuoso,ACUOSOS,3x1,"3,78","11,35",3,No
100317104,AQDCOOLF,CAR MINE COOLANT FLUID - 50/50,Acuoso,ACUOSOS,Tambor,208,208,1,No
101817127,AQPDHCOOL,CAR MINE  HEAVY DUTY COOLANT,Acuoso,ACUOSOS,Bidon,20,20,1,No
100317126,AQDHDCOOL,CAR MINE  HEAVY DUTY COOLANT,Acuoso,ACUOSOS,Tambor,208,208,1,No
100917040,AQGENGDEG,CAR MINE ENGINE DEGREASER,Acuoso,ACUOSOS,3x1,"3,78","11,35",3,No
100317141,AQGENGDET,CAR MINE ENGINE DEGREASER,Acuoso,ACUOSOS,Tambor,208,208,1,No
100917039,AQGWASFLU,CAR MINE WINDSHIELD WASHER FLUID,Acuoso,ACUOSOS,3x1,"3,78","11,35",3,No
,AQ1GENGDEG,CAR MINE ENGINE DEGREASER,Acuoso,,,3x1,"3,784",3,Si
,AQ1ODOT3,CAR MINE BRAKE FLUID -DOT 3,Acuoso,,,8x1/8,"0,473",8,Si
,AQ1OSHAMP,CAR MINE SHAMPOO,Acuoso,,,8x1/8,"0,473",8,Si
,AQDHDCOOL-LT,CAR MINE  HEAVY DUTY COOLANT,Acuoso,,,Tambor,1,1,Si
,AQGCOOLF-LT,CAR MINE COOLANT FLUID - 50/50,Acuoso,,,3x1,"3,784",3,Si
,AQGCOOLF-U,CAR MINE COOLANT FLUID - 50/50,Acuoso,,,3x1,"3,784",3,Si
,AQGENGDEGU,CAR MINE ENGINE DEGREASER,Acuoso,,,3x1,"3,784",3,Si
,AQGENGDEGU-LT,CAR MINE ENGINE DEGREASER,Acuoso,,,3x1,"3,784",3,Si
,AQODOT3U,CAR MINE BRAKE FLUID -DOT 3,Acuoso,,,8x1/8,"0,473",8,Si
,AQOSHAMPU,CAR MINE SHAMPOO,Acuoso,,,8x1/8,"0,473",8,Si
,AQPHDCOOL-LT,CAR MINE  HEAVY DUTY COOLANT,Acuoso,,,Bidon,1,1,Si
,AT1QDEXIII,BIO MATIC AUTOMATIC TRANSMISSION  FLUID DEXRON III H,Transmision,,,6x1/4,"0,946",6,Si
,ATODEXIIIU,BIO MATIC AUTOMATIC TRANSMISSION  FLUID DEXRON III H,Transmision,,,8x1/8,"0,473",8,Si
,ATOPOWSTEU,BIO MATIC POWER STEERING FLUID,Transmision,,,8x1/8,"0,473",8,Si
,ATPJDMJ20C,BIO AGRO TRACTOR FLUID JDM J20C,Transmision,,,Paila,1,1,Si
,ATQDEXIIIU,BIO MATIC AUTOMATIC TRANSMISSION  FLUID DEXRON III H,Transmision,,,6x1/4,"0,946",6,Si
,ATTJDMJ20C,BIO AGRO TRACTOR FLUID JDM J20C,Transmision,,,6x1/4,"0,946",6,Si
,DEMD15W40U,ECO CLASSIC HEAVY DUTY DIESEL MULTIGRADE MOTOR OIL API CI-4 SAE 15W40,CI-4,,,Tambor,1,1,Si
,DEMG15W40U,ECO CLASSIC HEAVY DUTY DIESEL MULTIGRADE MOTOR OIL API CI-4 SAE 15W40,CI-4,,,3x1,"3,784",3,Si
,DEMP15W40U,ECO CLASSIC HEAVY DUTY DIESEL MULTIGRADE MOTOR OIL API CI-4 SAE 15W40,CI-4,,,Paila,1,1,Si
,DEMPSAE50-LT,ECO PLUS MONOGRADE MOTOR OIL API CF SAE 50 TBN 10,CF 50,,,Paila,1,1,Si
,GEBQ15W40U,ECO CLASSIC SYNTHETIC BLEND MULTIGRADE MOTOR OIL API SN/SL SAE 15W40,SN,LUBRICANTES PARA MOTORES A GASOLINA SEMI-SINTETICOS,,6x1/4,"0,946",6,Si
,GEMQ15W40U,ECO CLASSIC MULTIGRADE MOTOR OIL API SL SAE 15W40,SL,LUBRICANTES PARA MOTORES A GASOLINA MINERALES,,6x1/4,"0,946",6,Si
,GEMQ20W50U,ECO CLASSIC MULTIGRADE MOTOR OIL API SL SAE 20W50,SL,LUBRICANTES PARA MOTORES A GASOLINA MINERALES,,6x1/4,"0,946",6,Si
,GESQ5W30U,ECO LOGIC FULL SYNTHETIC MULTIGRADE MOTOR OIL API SN PLUS SAE 5W30,SN,LUBRICANTES PARA MOTORES A GASOLINA FULL SINTETICOS,,6x1/4,"0,946",6,Si
,GOD80W90U,ADDENDUM  MULTIGRADE GEAR OIL API GL-5  SAE 80W90,Engranajes,,,Tambor,1,1,Si
,GOP80W90U,ADDENDUM  MULTIGRADE GEAR OIL API GL-5  SAE 80W90,Engranajes,,,Paila,1,1,Si
,GOP85W140U,ADDENDUM  MULTIGRADE GEAR OIL API GL-5 SAE 85W140,Engranajes,,,Paila,1,1,Si
,HPDAW32,ECO DYN PREMIUM HYDRAULIC OIL AW 32,HD,LUBRICANTES PARA APLICACIONES INDUSTRIALES,,Tambor,1,1,Si
,HPPAW68-LT,ECO DYN PREMIUM HYDRAULIC OIL AW 68,HD,,,Paila,1,1,Si
,TFDT04SA30U,BIO MATIC TO-4 SAE 10W,Transmision,,,Tambor,1,1,Si
,TFDTO4SA10U,BIO MATIC CATERPILLAR TO-4 30,Transmision,,,tambor,1,1,Si
,TFDTO4SA50U,BIO MATIC CATERPILLAR TO-4 50,Transmision,,,Tambor,1,1,Si
,100411056,ECO CLASSIC HEAVY DUTY DIESEL MULTIGRADE MOTOR OIL API CI-4 SAE 15W40,CI-4,,,Paila,1,1,Si
,DEM1P15W40,ECO CLASSIC HEAVY DUTY DIESEL MULTIGRADE MOTOR OIL API CI-4 SAE 15W40,CI-4,,,Paila,1,1,Si
,ATOMERCOVU,BIO MATIC AUTOMATIC TRANSMISSION  FLUID MULTI-VEHICLE MERCON  V,Transmision,,,8x1/8,"0,473",8,Si
,DEMG15W40U-Q,ECO CLASSIC HEAVY DUTY DIESEL MULTIGRADE MOTOR OIL API CI-4 SAE 15W40,CI-4,,,3x1,"3,783",3,Si
,100810128U,ECO CLASSIC MULTIGRADE MOTOR OIL API SL SAE 15W40,SL,,,6x1/4,"0,946",6,Si
,MCSQ20W50U,ECO CYCLE 4 STROKE MOTORCYCLE MAXIMUM PROTECTION JASO MA/MA-2 SAE 20W5,MA-2,,,8x1/8,"0,473",8,Si
,7X7664U,ECO GREASE COMPLEX HT-EP,Grasa,,,Paila,1,1,Si
